,L1,L2,iter,outliers,sigma,nre_corr,nre_uncorr,max,min,close_to_zero,time
0,1,0,0,0,0,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,49.59633111953735
1,1,0,0,0,4,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,49.34527397155762
2,1,0,0,0,12,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,48.86582851409912
3,1,0,0,0,20,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,47.312490463256836
4,1,0,0,0,28,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,48.42600989341736
5,1,0,0,1125,0,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,48.09661889076233
6,1,0,0,1125,4,1.0108253282469453,1.0183933605941367,8.407330397995414,-14.997189180340072,80,55.295647382736206
7,1,0,0,1125,12,0.9939638197687856,1.0045255175882697,203.59145159491217,-7.240986402220455,46,61.03923296928406
8,1,0,0,1125,20,0.9959521212915399,1.0106656530504865,279.47540288046554,-8.617937329952513,76,47.50786232948303
9,1,0,0,1125,28,0.9926552790457822,1.0537102891198424,37.1068828405805,-71.07571809662724,81,41.10839343070984
10,1,0,0,2250,0,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,48.717387437820435
11,1,0,0,2250,4,0.995202561027098,1.0057529347725367,162.6433440714034,-11.879455756877636,53,61.162736654281616
12,1,0,0,2250,12,0.9953620192021817,1.0165405577710056,56.13055200301026,-11.700588924777803,55,57.38797950744629
13,1,0,0,2250,20,0.9943306605857951,1.0292483849697964,96.92391847111708,-14.807492037936438,55,58.44786596298218
14,1,0,0,2250,28,0.9894147349588425,1.076769508311175,478.50974905042415,-6.1043955913101655,87,31.808257818222046
15,1,0,0,3375,0,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,51.50369119644165
16,1,0,0,3375,4,1.0080318978672858,1.020131758026973,13.05539503689847,-7.167270121342647,80,68.46058678627014
17,1,0,0,3375,12,0.9911158645959108,1.016573447402625,275.8028019948439,-7.023084590596761,52,54.10040473937988
18,1,0,0,3375,20,0.9916650104846851,1.0566960286045928,115.10258471639241,-15.723323571919854,54,37.42637085914612
19,1,0,0,3375,28,0.9950015515480042,1.059817350073515,40.23180977163102,-63.1106334053108,70,41.65131115913391
20,1,0,0,4500,0,0.9968643725421734,1.001011294724348,151.0055963575051,-7.924292023539269,81,48.46116662025452
21,1,0,0,4500,4,0.9943880703956912,1.0094303943487675,176.15934487116093,-10.743157290662907,57,61.43821716308594
22,1,0,0,4500,12,0.9895495715042656,1.024690114263093,308.6803049442953,-6.904533228639944,64,37.98275828361511
23,1,0,0,4500,20,0.9928232324179153,1.047378755332119,454.57386085972763,-8.737368921942974,80,33.794307708740234
24,1,0,0,4500,28,0.991001864536502,1.1174951067855503,647.4994673510063,-8.362209300573127,57,28.668238401412964
